;X001_Name;X002_Street;X003_PEastcode;X004_City;X006_Country;X010_Lon;X011_Lat;X012_NoRooms;X014_CheckIn;X016_MultiLang;X022_ConfOrMeetingRooms;X025_Pool;X026_RestaurantOrCafe;X027_Fitnesscenter;X029_FreeInternet;X035_BarOrLounge;X040_FreeParking;X046_PayOptions;X052_RoomService;X055_Minibar;X098_DistanceSerraDeTramuntana;X099_DistanceCathedralLeSeu;X100_DistanceAlcudiaOldTown;X102_DistanceToBeach;X103LocationBeach
165;Hotel Los Geranios;Paseo de la Playa 15;7108;Port de Soller;Spain;2,691778;39,79031;21;1:00 PM;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;MasterCard; Visa;FALSE;FALSE;28,18647851;25,0666385;37,28828994;0,013086742;North
166;Be Live Adults Only La Cala;C/ Gavina 4;7015;Cala Major;Spain;2,60559;39,55308;67;3:00 PM;TRUE;FALSE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;MasterCard; American Express; Visa;FALSE;TRUE;9,518102777;3,927929994;55,24725674;0,066032012;West
169;Delfin Playa;Hermanos Moncada 17;7181;Palmanova;Spain;2,535167;39,51967;144;2:00 PM;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;MasterCard; Visa; American Express; Diners Club Card;FALSE;TRUE;7,620038526;10,98995788;62,30187284;0,092431845;West
170;Hoposa Daina Hotel;C/ Atilio Boveri 2;7470;Port de Pollenca;Spain;3,082931;39,90737;67;2:00 PM;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;MasterCard; American Express; Visa;TRUE;FALSE;61,3619873;53,02710802;6,85848469;0,343177171;East
171;Petit Cala Fornells;C/ Cala Fornells 78;7160;Peguera;Spain;2,437233;39,53202;24;1:00 PM;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;Visa; MasterCard;TRUE;TRUE;7,915168375;18,44295666;68,48593337;0,084181024;West
173;Bendinat Hotel;C/ Andres Ferret Sobral 1;7181;Portals Nous;Spain;2,579781;39,53218;52;2:00 PM;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;MasterCard; American Express; Diners Club Card; Visa;TRUE;FALSE;8,77540425;6,997530142;58,41585127;0,305204541;West
176;Viva Cala Mesquida Resort Aparthotel;Urbanizacion Cala Mesquida s/n;7580;Capdepera;Spain;3,428638;39,74377;295;2:00 PM;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;MasterCard; American Express; Diners Club Card; Visa;TRUE;FALSE;81,28708666;69,63895932;28,93317028;0,218976732;South
177;HM Gran Fiesta;C/ Marbella 28;7610;Playa de Palma;Spain;2,735576;39,52495;241;2:00 PM;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;MasterCard; American Express; Diners Club Card; Visa;TRUE;FALSE;21,06795091;8,890037305;49,14256031;0,051550674;West
178;IBEREastAR Son Antem;Carretera Ma 19;7620;Llucmajor;Spain;2,82744;39,47481;151;2:00 PM;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;MasterCard; American Express; Visa;TRUE;TRUE;30,41545509;18,53064988;48,95531402;7,195094777;West
181;BQ Belvedere Hotel;Mitja lluna 4;7015;San Agustin;Spain;2,599326;39,55333;414;2:00 PM;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;MasterCard; Visa;FALSE;FALSE;9,00739776;4,414573436;55,65861358;0,35928;West
